index,date,cheveux,age,exp,salaire,sexe,diplome,specialite,note,dispo,embauche,annee,mois,trimestre,jour_semaine,semaine_annee,exp_age_ratio,salaire_par_exp,ecart_exp_max,categorie_age,niveau_experience,tranche_salaire,niveau_note,diplome_num,diplome_x_exp,diplome_x_note,exp_x_note,score_composite,exp_elevee_pour_age,salaire_eleve,note_elevee,diplome_eleve,est_senior,profil_atypique
40,2013-04-23,brun,41.0,8.0,34359.0,F,bac,geologie,56.41,non,0,2013,4,2,1,17,0.34782608695652173,3817.6666666666665,15.0,Confirme,Experimente,Moyen,Moyen,1,8.0,56.41,451.28,23.641,0,0,0,0,0,0
41,2014-09-07,blond,34.0,15.0,36295.0,M,licence,geologie,81.06,oui,0,2014,9,3,6,36,0.9375,2268.4375,1.0,Junior,Expert,Eleve,Bon,2,30.0,162.12,1215.9,43.106,1,1,1,0,0,0
42,2012-04-28,chatain,25.0,9.0,34640.0,F,master,detective,73.96,non,0,2012,4,2,5,17,1.2857142857142858,3464.0,-2.0,Jeune,Experimente,Moyen,Bon,3,27.0,221.88,665.64,46.396,1,0,0,1,0,0
43,2013-09-29,chatain,24.0,9.0,44710.0,M,bac,geologie,29.97,non,0,2013,9,3,6,39,1.5,4471.0,-3.0,Jeune,Experimente,Tres_eleve,Faible,1,9.0,29.97,269.73,21.997,1,1,0,0,0,0
44,2014-12-11,brun,16.0,7.0,29858.0,M,master,geologie,76.18,non,0,2014,12,4,3,50,-3.5,3732.25,-9.0,Jeune,Experimente,Bas,Bon,3,21.0,228.54000000000002,533.26,44.618,0,0,1,1,0,0
45,2014-12-27,brun,36.0,8.0,36653.0,F,licence,detective,74.47,non,0,2014,12,4,5,52,0.4444444444444444,4072.5555555555557,10.0,Confirme,Experimente,Eleve,Bon,2,16.0,148.94,595.76,35.447,0,1,1,0,0,0
46,2010-02-18,chatain,43.0,5.0,42337.0,F,licence,detective,57.33,non,1,2010,2,1,3,7,0.2,7056.166666666667,20.0,Confirme,Intermediaire,Tres_eleve,Moyen,2,10.0,114.66,286.65,30.733,0,1,0,0,0,0
47,2014-06-07,chatain,38.0,11.0,39854.0,F,doctorat,archeologie,73.22,oui,0,2014,6,2,5,23,0.55,3321.1666666666665,9.0,Confirme,Expert,Eleve,Bon,4,44.0,292.88,805.42,58.322,1,1,0,1,0,0
48,2011-03-18,blond,37.0,9.0,32154.0,F,master,forage,89.52,oui,0,2011,3,1,4,11,0.47368421052631576,3215.4,10.0,Confirme,Experimente,Moyen,Excellent,3,27.0,268.56,805.68,47.952,0,0,1,1,0,0
49,2010-08-03,chatain,26.0,10.0,36792.0,F,doctorat,detective,99.05,oui,0,2010,8,3,1,31,1.25,3344.7272727272725,-2.0,Junior,Experimente,Eleve,Excellent,4,40.0,396.2,990.5,59.905,1,1,1,1,0,0
50,2011-07-03,chatain,25.0,8.0,25575.0,M,doctorat,geologie,73.82,oui,0,2011,7,3,6,26,1.1428571428571428,2841.6666666666665,-1.0,Jeune,Experimente,Bas,Bon,4,32.0,295.28,590.56,55.382,1,0,0,1,0,1
51,2014-01-10,roux,29.0,9.0,34962.0,M,bac,geologie,36.92,non,0,2014,1,1,4,2,0.8181818181818182,3496.2,2.0,Junior,Experimente,Moyen,Faible,1,9.0,36.92,332.28000000000003,22.692,1,0,0,0,0,0
52,2010-05-23,blond,48.0,14.0,41311.0,F,licence,geologie,77.58,non,1,2010,5,2,6,20,0.4666666666666667,2754.0666666666666,16.0,Senior,Expert,Tres_eleve,Bon,2,28.0,155.16,1086.12,41.758,0,1,1,0,1,0
53,2012-07-18,chatain,47.0,10.0,32617.0,F,master,detective,84.29,non,0,2012,7,3,2,29,0.3448275862068966,2965.181818181818,19.0,Senior,Experimente,Moyen,Bon,3,30.0,252.87,842.9000000000001,48.429,0,0,1,1,0,0
54,2013-03-17,chatain,53.0,11.0,36032.0,M,doctorat,detective,92.16,oui,0,2013,3,1,6,11,0.3142857142857143,3002.6666666666665,24.0,Senior,Expert,Eleve,Excellent,4,44.0,368.64,1013.76,60.216,0,1,1,1,1,0
55,2010-12-13,brun,48.0,5.0,39932.0,F,licence,detective,65.51,non,1,2010,12,4,0,50,0.16666666666666666,6655.333333333333,25.0,Senior,Intermediaire,Eleve,Moyen,2,10.0,131.02,327.55,31.551000000000002,0,1,0,0,0,0
56,2014-11-27,chatain,33.0,15.0,32322.0,F,doctorat,geologie,70.87,oui,0,2014,11,4,3,48,1.0,2020.125,0.0,Junior,Expert,Moyen,Bon,4,60.0,283.48,1063.0500000000002,62.087,1,0,0,1,0,0
57,2014-06-24,roux,36.0,14.0,38843.0,M,licence,detective,68.82,oui,0,2014,6,2,1,26,0.7777777777777778,2589.5333333333333,4.0,Confirme,Expert,Eleve,Moyen,2,28.0,137.64,963.4799999999999,40.882,1,1,0,0,0,0
58,2011-01-01,brun,23.0,6.0,40244.0,F,master,archeologie,93.1,oui,0,2011,1,1,5,52,1.2,5749.142857142857,-1.0,Jeune,Experimente,Tres_eleve,Excellent,3,18.0,279.29999999999995,558.5999999999999,45.31,1,1,1,1,0,0
59,2010-04-05,chatain,35.0,9.0,40992.0,F,master,archeologie,79.33,oui,0,2010,4,2,0,14,0.5294117647058824,4099.2,8.0,Junior,Experimente,Tres_eleve,Bon,3,27.0,237.99,713.97,46.933,1,1,1,1,0,0
60,2010-11-03,brun,25.0,11.0,25405.0,F,doctorat,detective,81.24,non,0,2010,11,4,2,44,1.5714285714285714,2117.0833333333335,-4.0,Jeune,Expert,Bas,Bon,4,44.0,324.96,893.64,59.123999999999995,1,0,1,1,0,1
61,2013-06-12,brun,20.0,8.0,40900.0,M,licence,geologie,61.91,non,0,2013,6,2,2,24,4.0,4544.444444444444,-6.0,Jeune,Experimente,Tres_eleve,Moyen,2,16.0,123.82,495.28,34.191,1,1,0,0,0,0
62,2014-08-02,chatain,41.0,7.0,22335.0,M,doctorat,geologie,83.08,non,0,2014,8,3,5,31,0.30434782608695654,2791.875,16.0,Confirme,Experimente,Bas,Bon,4,28.0,332.32,581.56,55.308,0,0,1,1,0,1
63,2011-09-03,blond,31.0,16.0,35113.0,M,master,geologie,82.05,non,1,2011,9,3,5,35,1.2307692307692308,2065.470588235294,-3.0,Junior,Expert,Eleve,Bon,3,48.0,246.14999999999998,1312.8,54.205,1,1,1,1,0,0
64,2012-06-22,blond,23.0,7.0,30188.0,F,licence,geologie,85.0,non,0,2012,6,2,4,25,1.4,3773.5,-2.0,Jeune,Experimente,Moyen,Bon,2,14.0,170.0,595.0,35.5,1,0,1,0,0,0
65,2012-03-08,blond,22.0,12.0,41807.0,M,bac,geologie,69.08,non,0,2012,3,1,3,10,3.0,3215.923076923077,-8.0,Jeune,Expert,Tres_eleve,Moyen,1,12.0,69.08,828.96,28.908,1,1,0,0,0,0
66,2014-05-17,brun,40.0,11.0,33787.0,M,doctorat,forage,95.77,oui,0,2014,5,2,5,20,0.5,2815.5833333333335,11.0,Confirme,Expert,Moyen,Excellent,4,44.0,383.08,1053.47,60.577,0,0,1,1,0,0
67,2011-05-30,blond,54.0,7.0,35396.0,M,bac,geologie,48.69,non,0,2011,5,2,0,22,0.19444444444444445,4424.5,29.0,Senior,Experimente,Eleve,Faible,1,7.0,48.69,340.83,21.869,0,1,0,0,0,0
68,2013-04-20,blond,35.0,9.0,30580.0,F,licence,geologie,94.24,non,0,2013,4,2,5,16,0.5294117647058824,3058.0,8.0,Junior,Experimente,Moyen,Excellent,2,18.0,188.48,848.16,38.424,1,0,1,0,0,0
69,2012-01-04,chatain,46.0,6.0,42796.0,M,master,archeologie,80.75,oui,0,2012,1,1,2,1,0.21428571428571427,6113.714285714285,22.0,Senior,Experimente,Tres_eleve,Bon,3,18.0,242.25,484.5,44.075,0,1,1,1,0,0
70,2013-12-20,blond,29.0,8.0,39117.0,F,bac,geologie,56.36,non,0,2013,12,4,4,51,0.7272727272727273,4346.333333333333,3.0,Junior,Experimente,Eleve,Moyen,1,8.0,56.36,450.88,23.636,1,1,0,0,0,0
71,2010-10-05,chatain,45.0,10.0,32069.0,F,master,geologie,66.3,non,0,2010,10,4,1,40,0.37037037037037035,2915.3636363636365,17.0,Confirme,Experimente,Moyen,Moyen,3,30.0,198.89999999999998,663.0,46.63,0,0,0,1,0,0
72,2011-06-11,brun,42.0,5.0,42833.0,M,licence,geologie,67.16,non,0,2011,6,2,5,23,0.20833333333333334,7138.833333333333,19.0,Confirme,Intermediaire,Tres_eleve,Moyen,2,10.0,134.32,335.79999999999995,31.716,0,1,0,0,0,0
73,2012-05-09,brun,29.0,7.0,42383.0,M,licence,forage,66.07,oui,0,2012,5,2,2,19,0.6363636363636364,5297.875,4.0,Junior,Experimente,Tres_eleve,Moyen,2,14.0,132.14,462.48999999999995,33.607,1,1,0,0,0,0
74,2012-02-15,brun,26.0,8.0,28401.0,F,doctorat,detective,85.1,oui,0,2012,2,1,2,7,1.0,3155.6666666666665,0.0,Junior,Experimente,Bas,Excellent,4,32.0,340.4,680.8,56.51,1,0,1,1,0,1
75,2014-12-13,brun,61.0,9.0,32275.0,M,master,geologie,91.66,non,0,2014,12,4,5,50,0.20930232558139536,3227.5,34.0,Senior,Experimente,Moyen,Excellent,3,27.0,274.98,824.9399999999999,48.166,0,0,1,1,0,0
76,2012-01-14,chatain,22.0,15.0,27395.0,F,master,forage,87.07,non,0,2012,1,1,5,2,3.75,1712.1875,-11.0,Jeune,Expert,Bas,Excellent,3,45.0,261.21,1306.05,53.707,1,0,1,1,0,0
77,2014-09-13,blond,33.0,12.0,38843.0,M,bac,geologie,64.6,non,0,2014,9,3,5,37,0.8,2987.923076923077,3.0,Junior,Expert,Eleve,Moyen,1,12.0,64.6,775.1999999999999,28.46,1,1,0,0,0,0
78,2012-01-31,blond,35.0,8.0,43587.0,M,licence,geologie,47.01,oui,0,2012,1,1,1,5,0.47058823529411764,4843.0,9.0,Junior,Experimente,Tres_eleve,Faible,2,16.0,94.02,376.08,32.701,0,1,0,0,0,0
79,2014-10-11,blond,26.0,10.0,33852.0,F,bac,geologie,75.27,non,0,2014,10,4,5,41,1.25,3077.4545454545455,-2.0,Junior,Experimente,Moyen,Bon,1,10.0,75.27,752.6999999999999,27.527,1,0,1,0,0,0
80,2012-02-21,brun,37.0,11.0,34451.0,F,licence,geologie,76.2,non,0,2012,2,1,1,8,0.5789473684210527,2870.9166666666665,8.0,Confirme,Expert,Moyen,Bon,2,22.0,152.4,838.2,38.62,1,0,1,0,0,0
81,2012-04-17,chatain,31.0,9.0,25740.0,F,doctorat,forage,97.07,non,0,2012,4,2,1,16,0.6923076923076923,2574.0,4.0,Junior,Experimente,Bas,Excellent,4,36.0,388.28,873.6299999999999,58.707,1,0,1,1,0,1
82,2013-06-23,roux,46.0,7.0,35899.0,M,licence,geologie,66.5,non,0,2013,6,2,6,25,0.25,4487.375,21.0,Senior,Experimente,Eleve,Moyen,2,14.0,133.0,465.5,33.65,0,1,0,0,0,0
83,2012-10-13,blond,35.0,14.0,31201.0,M,licence,geologie,87.35,non,0,2012,10,4,5,41,0.8235294117647058,2080.0666666666666,3.0,Junior,Expert,Moyen,Excellent,2,28.0,174.7,1222.8999999999999,42.735,1,0,1,0,0,0
84,2013-05-17,blond,44.0,11.0,35865.0,M,master,geologie,82.39,oui,1,2013,5,2,4,20,0.4230769230769231,2988.75,15.0,Confirme,Expert,Eleve,Bon,3,33.0,247.17000000000002,906.29,49.239000000000004,0,1,1,1,1,0
85,2014-06-26,blond,21.0,14.0,33632.0,M,licence,geologie,75.08,non,0,2014,6,2,3,26,4.666666666666667,2242.133333333333,-11.0,Jeune,Expert,Moyen,Bon,2,28.0,150.16,1051.12,41.508,1,0,1,0,0,0
86,2013-10-30,chatain,36.0,10.0,31450.0,F,master,detective,89.11,oui,0,2013,10,4,2,44,0.5555555555555556,2859.090909090909,8.0,Confirme,Experimente,Moyen,Excellent,3,30.0,267.33,891.1,48.911,1,0,1,1,0,0
87,2012-10-30,roux,37.0,12.0,27789.0,M,master,geologie,81.83,non,0,2012,10,4,1,44,0.631578947368421,2137.6153846153848,7.0,Confirme,Expert,Bas,Bon,3,36.0,245.49,981.96,50.183,1,0,1,1,0,0
88,2012-11-24,blond,30.0,3.0,34821.0,M,master,geologie,81.13,oui,0,2012,11,4,5,47,0.25,8705.25,9.0,Junior,Intermediaire,Moyen,Bon,3,9.0,243.39,243.39,41.113,0,0,1,1,0,0
89,2012-08-12,blond,39.0,14.0,39782.0,M,master,archeologie,54.71,oui,0,2012,8,3,6,32,0.6666666666666666,2652.133333333333,7.0,Confirme,Expert,Eleve,Moyen,3,42.0,164.13,765.94,49.471000000000004,1,1,0,1,0,0
90,2013-11-17,brun,41.0,6.0,32184.0,M,doctorat,forage,91.68,oui,0,2013,11,4,6,46,0.2608695652173913,4597.714285714285,17.0,Confirme,Experimente,Moyen,Excellent,4,24.0,366.72,550.08,55.168,0,0,1,1,0,0
91,2010-08-23,chatain,38.0,11.0,39178.0,M,master,geologie,64.62,oui,0,2010,8,3,0,34,0.55,3264.8333333333335,9.0,Confirme,Expert,Eleve,Moyen,3,33.0,193.86,710.82,47.462,1,1,0,1,0,0
92,2013-10-23,brun,45.0,3.0,36206.0,F,licence,geologie,73.93,non,0,2013,10,4,2,43,0.1111111111111111,9051.5,24.0,Confirme,Intermediaire,Eleve,Bon,2,6.0,147.86,221.79000000000002,30.393,0,1,0,0,0,0
93,2010-01-20,blond,23.0,9.0,28975.0,M,master,geologie,73.4,non,0,2010,1,1,2,3,1.8,2897.5,-4.0,Jeune,Experimente,Bas,Bon,3,27.0,220.20000000000002,660.6,46.34,1,0,0,1,0,0
94,2011-10-22,chatain,35.0,3.0,31214.0,F,doctorat,forage,87.67,oui,0,2011,10,4,5,42,0.17647058823529413,7803.5,14.0,Junior,Intermediaire,Moyen,Excellent,4,12.0,350.68,263.01,51.766999999999996,0,0,1,1,0,0
95,2014-03-14,chatain,25.0,6.0,31112.0,M,doctorat,forage,87.69,oui,0,2014,3,1,4,11,0.8571428571428571,4444.571428571428,1.0,Jeune,Experimente,Moyen,Excellent,4,24.0,350.76,526.14,54.769,1,0,1,1,0,0
96,2011-06-22,brun,56.0,10.0,33522.0,M,doctorat,geologie,74.07,oui,0,2011,6,2,2,25,0.2631578947368421,3047.4545454545455,28.0,Senior,Experimente,Moyen,Bon,4,40.0,296.28,740.6999999999999,57.407,0,0,1,1,0,0
97,2012-12-03,brun,46.0,10.0,29724.0,F,master,geologie,75.23,non,0,2012,12,4,0,49,0.35714285714285715,2702.181818181818,18.0,Senior,Experimente,Bas,Bon,3,30.0,225.69,752.3000000000001,47.523,0,0,1,1,0,0
98,2012-11-01,roux,19.0,11.0,29818.0,M,bac,geologie,89.99,non,0,2012,11,4,3,44,11.0,2484.8333333333335,-10.0,Jeune,Expert,Bas,Excellent,1,11.0,89.99,989.89,29.999,1,0,1,0,0,0
99,2012-07-12,blond,47.0,8.0,41011.0,M,bac,detective,51.12,non,0,2012,7,3,3,28,0.27586206896551724,4556.777777777777,21.0,Senior,Experimente,Tres_eleve,Moyen,1,8.0,51.12,408.96,23.112000000000002,0,1,0,0,0,0
100,2012-02-29,roux,28.0,7.0,40274.0,M,bac,geologie,36.17,non,0,2012,2,1,2,9,0.7,5034.25,3.0,Junior,Experimente,Tres_eleve,Faible,1,7.0,36.17,253.19,20.617,1,1,0,0,0,0
101,2012-09-24,chatain,25.0,11.0,40667.0,M,master,geologie,59.06,non,0,2012,9,3,0,39,1.5714285714285714,3388.9166666666665,-4.0,Jeune,Expert,Tres_eleve,Moyen,3,33.0,177.18,649.6600000000001,46.906,1,1,0,1,0,0
102,2011-01-27,brun,31.0,15.0,27918.0,F,licence,forage,88.57,non,0,2011,1,1,3,4,1.1538461538461537,1744.875,-2.0,Junior,Expert,Bas,Excellent,2,30.0,177.14,1328.55,43.857,1,0,1,0,0,0
103,2013-07-30,chatain,40.0,6.0,27185.0,F,doctorat,detective,75.77,oui,0,2013,7,3,1,31,0.2727272727272727,3883.5714285714284,16.0,Confirme,Experimente,Bas,Bon,4,24.0,303.08,454.62,53.577,0,0,1,1,0,1
104,2013-09-18,chatain,30.0,8.0,31390.0,F,licence,archeologie,65.38,non,1,2013,9,3,2,38,0.6666666666666666,3487.777777777778,4.0,Junior,Experimente,Moyen,Moyen,2,16.0,130.76,523.04,34.538,1,0,0,0,0,0
105,2014-09-24,chatain,42.0,7.0,31662.0,F,master,forage,82.17,non,0,2014,9,3,2,39,0.2916666666666667,3957.75,17.0,Confirme,Experimente,Moyen,Bon,3,21.0,246.51,575.19,45.217,0,0,1,1,0,0
106,2010-06-13,brun,48.0,13.0,34549.0,M,master,geologie,79.02,oui,0,2010,6,2,6,23,0.43333333333333335,2467.785714285714,17.0,Senior,Expert,Moyen,Bon,3,39.0,237.06,1027.26,50.902,0,0,1,1,1,0
107,2014-12-05,blond,39.0,10.0,31230.0,F,licence,geologie,95.83,non,0,2014,12,4,4,49,0.47619047619047616,2839.090909090909,11.0,Confirme,Experimente,Moyen,Excellent,2,20.0,191.66,958.3,39.583,0,0,1,0,0,0
108,2012-08-31,chatain,38.0,9.0,34463.0,F,master,geologie,51.43,non,1,2012,8,3,4,35,0.45,3446.3,11.0,Confirme,Experimente,Moyen,Moyen,3,27.0,154.29,462.87,44.143,0,0,0,1,0,0
109,2014-06-04,blond,36.0,6.0,38938.0,M,licence,geologie,89.26,oui,1,2014,6,2,2,23,0.3333333333333333,5562.571428571428,12.0,Confirme,Experimente,Eleve,Excellent,2,12.0,178.52,535.5600000000001,34.926,0,1,1,0,0,0
